ID,Ring,Early Trophozoite,Late Trophozoite,Schizont,Gametocyte II,Gametocyte V,Ookinete
PF3D7_0212500,35.1186,41.662,31.7328,9.6718,6.0803,16.1925,39.3809
PF3D7_0212600,11.7835,1.4742,99.4484,102.6541,29.6467,10.5561,187.666
PF3D7_0212700,3.8058,4.8966,8.327,3.0615,1.6364,75.8761,187.3839
PF3D7_0212800,2.67,7.12,19.6826,6.8779,14.5131,26.5619,12.1829
PF3D7_0212900,2.6619,0.361,53.6614,32.389,2.1032,8.1222,29.3078
PF3D7_0213000,3.5421,0.7913,11.6619,4.6931,19.9746,108.1589,27.9268
PF3D7_0213100,43.8916,196.8216,124.2283,21.4403,47.7987,122.5705,287.765
PF3D7_0213200,4.1097,5.619,19.2228,5.3999,77.0659,221.3516,29.3781
PF3D7_0213300,7.0473,6.3566,39.9301,9.921,214.8369,115.7515,82.6492
PF3D7_0213400,4.5518,3.0732,15.8681,7.6895,26.3204,32.2183,164.0457
PF3D7_0213500,8.982,7.1092,20.4685,2.9752,10.0985,21.3078,107.2365
PF3D7_0213600,3.0926,0.5244,1.871,0.162,4.8794,33.2472,10.0254
PF3D7_0213700,42.4287,131.299,73.0884,3.1603,338.1889,252.244,54.16
PF3D7_0213800,3.895,4.2604,1.5557,0.1462,3.5015,78.948,73.7851
PF3D7_0213900,16.5184,33.5191,9.9896,1.1753,5.2142,9.8016,13.188
PF3D7_0214000,68.8231,79.8751,80.4722,11.1862,17.7546,11.6633,62.699
PF3D7_0214100,224.5669,102.1482,407.5224,1246.5924,28.3144,18.1756,42.7724
PF3D7_0214200,12.9055,3.4744,114.2284,24.3775,204.7964,49.7578,50.36
PF3D7_0214300,4.7999,0.6552,3.8058,0.1566,4.1478,9.5218,19.7665
PF3D7_0214400,71.7808,43.5247,18.9799,0.632,8.2182,47.8951,94.0277
PF3D7_0214500,6.6871,2.3244,2.5017,0.3191,16.3582,33.2595,0
PF3D7_0214600,4.2404,0.3698,11.26,6.398,0.5557,4.4653,166.9714
PF3D7_0214700,4.9544,0.175,8.3562,6.1636,7.6469,18.9379,151.3411
PF3D7_0214800,33.4772,80.6009,22.7719,8.6402,5.8244,6.924,19.7156
PF3D7_0214900,4.9029,2.0566,61.2927,162.2536,15.1098,8.3923,51.4928
