[Gene ID]	[Genomic Sequence ID]	[UniProt ID]	[Entrez Gene ID]	[Gene Name or Symbol]	[Previous ID(s)]	
PF3D7_0203800	Pf3D7_02_v3	Q8I666	812632	null	1400.t00202, 1400.t00265, PF02_0035, PF02_0036, PFB0176c, PFB0177c	
PF3D7_0203900	Pf3D7_02_v3	O96139	812633	null	PF02_0037, PFB0180w	
PF3D7_0204000	Pf3D7_02_v3	O96140	812634	null	PF02_0038, PFB0185w	
PF3D7_0204100	Pf3D7_02_v3	Q9TY98	812635	null	PF02_0039, PFB0190c	
PF3D7_0204200	Pf3D7_02_v3	Q8I665	812636	null	PF02_0040, PFB0194w	
PF3D7_0204300	Pf3D7_02_v3	O96141	812637	null	PF02_0041, PFB0195c	
PF3D7_0204400	Pf3D7_02_v3	C6S3A9	8445026	null	PFB0196c	
PF3D7_0204500	Pf3D7_02_v3	O96142	812638	AspAT	PF02_0042, PFB0200c	
PF3D7_0204600	Pf3D7_02_v3	O96143	812639	null	PF02_0043, PFB0205c	
PF3D7_0204700	Pf3D7_02_v3	Q7KWJ5	812640	HT	PF02_0044, PFB0210c	
PF3D7_0204800	Pf3D7_02_v3	O96144	812641	null	PF02_0045, PFB0215c	
PF3D7_0204900	Pf3D7_02_v3	O96145	812642	null	PF02_0046, PFB0220w	
PF3D7_0205000	Pf3D7_02_v3	O96146	812643	null	PF02_0047, PFB0225c	
PF3D7_0205100	Pf3D7_02_v3	C6S3B0,O96147	812644,8444953	null	PF02_0048, PFB0227c, PFB0230c	
PF3D7_0205200	Pf3D7_02_v3	null	null	null	PF02_0048, PFB0230c	
PF3D7_0205300	Pf3D7_02_v3	O96148	812645	null	PF02_0049, PFB0235w	
PF3D7_0205400	Pf3D7_02_v3	O96149	812646	null	PF02_0050, PFB0240w	
PF3D7_0205500	Pf3D7_02_v3	O96150	812647	null	PF02_0051, PFB0245c	
PF3D7_0205600	Pf3D7_02_v3	O96151	812648	null	PF02_0052, PFB0250w	
PF3D7_0205700.1	Pf3D7_02_v3	null	null	null	1400.t00249, 1400.t00268, PF02_0053, PF02_0054, PFB0255w, PFB0256w	
PF3D7_0205700.2	Pf3D7_02_v3	O96152	812649	null	1400.t00249, 1400.t00268, PF02_0053, PF02_0054, PFB0255w, PFB0256w	
PF3D7_0205800	Pf3D7_02_v3	C6S3B1	8445016	null	PFB0257c	
PF3D7_0205900	Pf3D7_02_v3	O96153	812651	RPN1	PF02_0055, PFB0260w	
PF3D7_0206000	Pf3D7_02_v3	O96154	812652	null	PF02_0056, PFB0265c	
PF3D7_0206100	Pf3D7_02_v3	O96155	812653	SufE	PF02_0057, PFB0270w	
PF3D7_0206200	Pf3D7_02_v3	O96156	812654	PAT	PF02_0058, PFB0275w	
PF3D7_0206300	Pf3D7_02_v3	O96157,Q8I663	812655,812656	AROM	PF02_0059, PF02_0060, PF3D7_0206400, PFB0279w, PFB0280w	
PF3D7_0206500	Pf3D7_02_v3	O96158	812657	null	PF02_0061, PFB0285c	
PF3D7_0206600	Pf3D7_02_v3	O96159	812658	null	PF02_0062, PFB0290c	
PF3D7_0206700	Pf3D7_02_v3	Q7KWJ4	812659	ASL	PF02_0063, PFB0295w	
PF3D7_0206800	Pf3D7_02_v3	P50498	812660	MSP2	PF02_0064, PFB0300c	
PF3D7_0206900.1	Pf3D7_02_v3	C6S3B2,Q7KWJ3	812661	MSP5	PF02_0065, PFB0305c	
PF3D7_0206900.2	Pf3D7_02_v3	null	null	MSP5	PF02_0065, PFB0305c	
PF3D7_0207000	Pf3D7_02_v3	Q7KWJ2	812662	MSP4	PF02_0066, PFB0310c	
PF3D7_0207100	Pf3D7_02_v3	O96160	812663	null	PF02_0067, PFB0315w	
PF3D7_0207200	Pf3D7_02_v3	O96161	812664	IscA1	PF02_0068, PFB0320c	
PF3D7_0207300	Pf3D7_02_v3	O96162	812665	SERA8	PF02_0069, PFB0325c	
PF3D7_0207400	Pf3D7_02_v3	O96163	812666	SERA7	PF02_0070, PFB0330c	
PF3D7_0207500	Pf3D7_02_v3	Q9TY96	812667	SERA6	PF02_0071, PFB0335c	
PF3D7_0207600	Pf3D7_02_v3	Q9TY95	812668	SERA5	PF02_0072, PFB0340c	
PF3D7_0207700	Pf3D7_02_v3	O96164	812669	SERA4	PF02_0073, PFB0345c	
PF3D7_0207800	Pf3D7_02_v3	O96165	812670	SERA3	PF02_0074, PFB0350c	
PF3D7_0207900	Pf3D7_02_v3	O96166	812671	SERA2	PF02_0075, PFB0355c	
PF3D7_0208000	Pf3D7_02_v3	O96167	812672	SERA1	PF02_0076, PFB0360c	
PF3D7_0208100.1	Pf3D7_02_v3	O96168	812673	null	PF02_0077, PFB0365w	
PF3D7_0208100.2	Pf3D7_02_v3	null	null	null	PF02_0077, PFB0365w	
PF3D7_0208200	Pf3D7_02_v3	O96169	812674	KRR1	PF02_0078, PFB0370c	
PF3D7_0208300	Pf3D7_02_v3	O96170	812675	null	PF02_0079, PFB0375w	
PF3D7_0208400	Pf3D7_02_v3	O96171	812676	null	PF02_0080, PFB0380c	
PF3D7_0208500	Pf3D7_02_v3	Q7KWJ1	812677	ACP	PF02_0081, PFB0385w	
PF3D7_0208600	Pf3D7_02_v3	O96173	812678	RRF1	PF02_0082, PFB0390w	
PF3D7_0208700.1	Pf3D7_02_v3	null	null	null	PF02_0083, PFB0391c	
PF3D7_0208700.2	Pf3D7_02_v3	C6S3B3,Q8I662	812679	null	PF02_0083, PFB0391c	
PF3D7_0208800	Pf3D7_02_v3	O96174	812680	null	PF02_0084, PFB0395w	
PF3D7_0208900	Pf3D7_02_v3	O96175	812681	P230p	PF02_0085, PFB0400w	
PF3D7_0209000	Pf3D7_02_v3	P68874	812682	P230	PF02_0086, PFB0405w	
PF3D7_0209100	Pf3D7_02_v3	O96176	812683	null	PF02_0087, PFB0410c	
